aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.525776,0.032311,0.526768,0.432587,0.652512,0.000018,0.000572,0.465155,0.052255,0.468081,0.144409,0.774185,0.000048,0.000546,0.606243,0.024740,0.606747,0.490005,0.693481,0.000011,0.000156,0.496185,0.022140,0.496679,0.457138,0.603241,0.000009,0.000109,0.507106,0.009261,0.507191,0.464203,0.520752,0.000001,0.000026,0.500368,0.010661,0.500481,0.486420,0.545822,0.000002,0.000077
0.545774,0.051217,0.548172,0.369507,0.625397,0.000046,0.000742,0.532262,0.061904,0.535850,0.386551,0.698395,0.000067,0.002647,0.552333,0.159908,0.575015,0.167938,0.991302,0.000445,0.007905,0.491118,0.031585,0.492132,0.443802,0.571152,0.000017,0.000388,0.510292,0.032394,0.511319,0.461380,0.609344,0.000018,0.000468,0.499901,0.010070,0.500002,0.481949,0.525772,0.000002,0.000047
0.486122,0.083458,0.493234,0.248627,0.609207,0.000121,0.003344,0.478430,0.142978,0.499337,0.179291,0.789368,0.000356,0.008813,0.620760,0.059881,0.623641,0.544388,0.831009,0.000062,0.001275,0.521152,0.035826,0.522382,0.473892,0.618790,0.000022,0.000760,0.495246,0.014554,0.495459,0.458420,0.526215,0.000004,0.000082,0.511866,0.043195,0.513686,0.456680,0.625565,0.000032,0.001206
0.490766,0.055385,0.493881,0.289886,0.554031,0.000053,0.000991,0.519907,0.137547,0.537794,0.199707,0.783554,0.000329,0.010272,0.614754,0.027104,0.615352,0.554749,0.669907,0.000013,0.000280,0.500776,0.006897,0.500823,0.478271,0.516617,0.000001,0.000022,0.502478,0.007946,0.502541,0.487030,0.524979,0.000001,0.000019,0.498309,0.037033,0.499683,0.455704,0.604904,0.000024,0.000891
0.472659,0.082499,0.479805,0.219604,0.553894,0.000118,0.002501,0.494767,0.176563,0.525328,0.068619,0.809967,0.000543,0.011984,0.618178,0.035075,0.619172,0.552994,0.700256,0.000021,0.000578,0.498670,0.010475,0.498780,0.461075,0.523254,0.000002,0.000019,0.503621,0.008261,0.503688,0.483047,0.526169,0.000001,0.000026,0.513487,0.047358,0.515666,0.461990,0.632446,0.000039,0.001658
0.482843,0.047874,0.485211,0.319733,0.532028,0.000040,0.000961,0.459014,0.126016,0.475998,0.234253,0.687286,0.000276,0.011242,0.615778,0.028055,0.616417,0.534927,0.649963,0.000014,0.000320,0.500255,0.008867,0.500333,0.463455,0.514801,0.000001,0.000021,0.500342,0.008494,0.500414,0.480576,0.519547,0.000001,0.000023,0.502334,0.033591,0.503456,0.437042,0.571381,0.000020,0.000697
0.487984,0.047302,0.490272,0.300476,0.536407,0.000039,0.000600,0.532960,0.130660,0.548743,0.180573,0.741333,0.000297,0.009553,0.613949,0.024975,0.614457,0.564697,0.663025,0.000011,0.000381,0.499726,0.006690,0.499771,0.476898,0.516815,0.000001,0.000011,0.500118,0.006635,0.500162,0.487244,0.518570,0.000001,0.000013,0.501596,0.030977,0.502552,0.467072,0.594940,0.000017,0.000596
0.459740,0.085223,0.467572,0.183395,0.562347,0.000126,0.002210,0.509410,0.155879,0.532725,0.162476,0.797119,0.000423,0.007874,0.618814,0.040920,0.620166,0.528168,0.719223,0.000029,0.000590,0.497893,0.008811,0.497971,0.476242,0.518784,0.000001,0.000038,0.504153,0.013759,0.504341,0.480927,0.540939,0.000003,0.000142,0.510927,0.041314,0.512595,0.470779,0.618866,0.000030,0.001266
0.464714,0.071268,0.470147,0.271973,0.537766,0.000088,0.002190,0.485465,0.135914,0.504131,0.208832,0.745331,0.000321,0.007862,0.625748,0.033771,0.626658,0.556259,0.720581,0.000020,0.000698,0.500669,0.005098,0.500695,0.484909,0.512680,0.000000,0.000006,0.501825,0.008108,0.501890,0.480896,0.522858,0.000001,0.000026,0.511925,0.041581,0.513610,0.467346,0.601669,0.000030,0.001550
0.475585,0.058426,0.479161,0.279633,0.541611,0.000059,0.001038,0.466715,0.128838,0.484171,0.174988,0.766678,0.000289,0.007125,0.624576,0.022473,0.624980,0.573090,0.664520,0.000009,0.000269,0.499762,0.007564,0.499819,0.481216,0.524384,0.000001,0.000014,0.500895,0.007447,0.500950,0.482422,0.520279,0.000001,0.000018,0.503736,0.035445,0.504981,0.464722,0.608170,0.000022,0.000919
0.490634,0.047669,0.492944,0.308685,0.544571,0.000040,0.000606,0.507959,0.120417,0.522037,0.285934,0.766205,0.000252,0.009809,0.611011,0.031865,0.611841,0.539261,0.682434,0.000018,0.000320,0.501299,0.005649,0.501330,0.481781,0.511261,0.000001,0.000008,0.499919,0.006727,0.499964,0.487610,0.519608,0.000001,0.000013,0.501653,0.029633,0.502527,0.461823,0.580460,0.000015,0.000813
0.470907,0.058632,0.474543,0.281830,0.548019,0.000060,0.001111,0.483661,0.120188,0.498370,0.251373,0.759720,0.000251,0.008367,0.616371,0.022032,0.616765,0.552261,0.660370,0.000008,0.000250,0.500523,0.005623,0.500555,0.480728,0.508652,0.000001,0.000008,0.501583,0.007581,0.501640,0.485779,0.523682,0.000001,0.000020,0.497865,0.038534,0.499354,0.454041,0.605789,0.000026,0.001136
0.485218,0.071194,0.490413,0.304504,0.575165,0.000088,0.002353,0.501075,0.125485,0.516549,0.258850,0.746872,0.000274,0.009045,0.614691,0.050821,0.616789,0.492447,0.740738,0.000045,0.000881,0.497649,0.009110,0.497733,0.468414,0.515915,0.000001,0.000029,0.506306,0.020333,0.506714,0.483704,0.550354,0.000007,0.000299,0.509384,0.037701,0.510777,0.457672,0.595306,0.000025,0.001235
0.497888,0.070942,0.502916,0.230667,0.572998,0.000088,0.001244,0.536060,0.140610,0.554195,0.189636,0.833511,0.000344,0.007527,0.609796,0.059989,0.612739,0.469620,0.791550,0.000063,0.001202,0.501853,0.011652,0.501989,0.462036,0.529312,0.000002,0.000044,0.499218,0.016654,0.499496,0.480652,0.549622,0.000005,0.000170,0.497576,0.036249,0.498894,0.469025,0.608856,0.000023,0.000708
0.465545,0.064425,0.469982,0.308487,0.550003,0.000072,0.001653,0.477764,0.147363,0.499974,0.217941,0.766098,0.000378,0.011922,0.618621,0.045121,0.620265,0.506409,0.734467,0.000035,0.000653,0.499344,0.010238,0.499449,0.464081,0.518753,0.000002,0.000034,0.505501,0.014907,0.505721,0.480225,0.537994,0.000004,0.000107,0.507807,0.042410,0.509575,0.451660,0.593384,0.000031,0.001254
0.494403,0.048392,0.496765,0.319122,0.557449,0.000041,0.000691,0.518776,0.122092,0.532950,0.245224,0.756973,0.000259,0.008895,0.607015,0.045474,0.608716,0.507797,0.717026,0.000036,0.000906,0.501190,0.007364,0.501244,0.476242,0.518997,0.000001,0.000023,0.496650,0.009753,0.496746,0.482437,0.526321,0.000002,0.000055,0.498868,0.033141,0.499968,0.462891,0.589798,0.000019,0.000794
0.455094,0.082685,0.462544,0.147125,0.515244,0.000119,0.001774,0.487881,0.161828,0.514020,0.076965,0.864380,0.000456,0.009141,0.619699,0.036291,0.620760,0.530823,0.711487,0.000023,0.000300,0.500242,0.008363,0.500312,0.468445,0.511002,0.000001,0.000032,0.503236,0.009053,0.503318,0.485413,0.528137,0.000001,0.000040,0.508815,0.041975,0.510544,0.465012,0.624573,0.000031,0.001369
