aX,aY,aZ,gX,gY,gZ
0.693,0.958,1.552,38.879,75.745,-6.165
0.667,0.917,1.513,35.461,93.445,-24.719
0.628,0.881,1.485,36.560,105.591,-39.307
0.582,0.835,1.429,43.823,113.342,-49.438
0.560,0.796,1.361,54.077,120.667,-56.152
0.552,0.764,1.286,63.171,127.991,-61.707
0.527,0.721,1.201,70.496,135.437,-69.153
0.524,0.637,1.057,76.233,142.761,-79.712
0.525,0.596,0.916,74.158,147.339,-92.712
0.482,0.576,0.795,61.157,146.973,-108.948
0.410,0.526,0.729,45.349,145.935,-127.930
0.338,0.423,0.702,34.302,145.874,-147.583
0.272,0.281,0.694,30.212,145.691,-163.208
0.226,0.135,0.686,31.677,145.081,-171.631
0.184,-0.002,0.640,38.086,141.907,-173.340
0.154,-0.128,0.569,47.058,137.085,-169.922
0.142,-0.234,0.465,53.955,132.019,-164.307
0.140,-0.294,0.388,54.688,127.197,-157.837
0.127,-0.328,0.332,51.208,121.460,-151.184
0.098,-0.381,0.295,47.180,113.525,-146.118
0.073,-0.466,0.254,42.480,107.300,-142.700
0.047,-0.570,0.196,35.767,105.957,-140.381
0.007,-0.686,0.102,23.499,108.154,-139.832
-0.032,-0.778,0.045,5.554,111.572,-139.099
-0.051,-0.861,0.028,-14.465,113.220,-134.827
-0.043,-0.937,0.047,-32.043,108.521,-124.023
-0.009,-1.000,0.098,-43.701,95.337,-106.567
0.025,-1.045,0.157,-48.218,78.064,-84.473
0.068,-1.065,0.212,-47.424,60.059,-59.082
0.131,-1.046,0.237,-42.969,41.077,-32.227
0.166,-0.979,0.248,-36.926,19.958,-7.019
0.175,-0.897,0.262,-31.616,-3.601,15.686
0.191,-0.830,0.291,-27.466,-25.085,36.499
0.231,-0.766,0.349,-25.085,-40.344,53.772
0.276,-0.698,0.418,-25.146,-49.988,67.200
0.324,-0.630,0.478,-25.818,-56.519,77.026
0.372,-0.559,0.519,-26.245,-60.059,83.130
0.419,-0.499,0.545,-25.513,-60.669,85.266
0.470,-0.457,0.574,-25.574,-59.875,84.351
0.504,-0.417,0.607,-29.358,-59.998,81.726
0.522,-0.370,0.664,-35.339,-60.547,78.918
0.530,-0.310,0.738,-40.466,-59.814,78.369
0.539,-0.243,0.818,-42.297,-58.838,80.383
0.550,-0.189,0.892,-40.405,-56.396,84.534
0.582,-0.165,0.958,-34.607,-50.842,89.661
0.627,-0.115,1.002,-27.405,-45.166,94.604
0.673,-0.037,1.016,-19.348,-40.405,96.802
0.711,0.026,0.986,-10.315,-37.109,93.384
0.715,0.079,0.937,-1.465,-38.391,84.534
0.686,0.085,0.886,4.883,-43.823,72.815
0.653,0.073,0.842,4.822,-45.349,60.730
0.656,0.081,0.851,-1.526,-41.931,49.622
0.655,0.100,0.886,-5.615,-39.185,41.382
0.638,0.101,0.924,-3.418,-41.321,36.438
0.638,0.082,0.941,2.014,-43.701,33.142
0.619,0.067,0.937,5.737,-44.922,29.663
0.596,0.050,0.943,6.531,-43.213,25.818
0.585,0.038,0.927,5.188,-38.391,21.912
0.559,0.043,0.910,2.014,-33.997,16.907
0.520,0.032,0.895,-2.441,-29.297,10.620
0.505,0.009,0.853,-7.690,-22.034,4.700
0.511,-0.001,0.827,-13.062,-15.503,0.061
0.520,0.000,0.797,-19.104,-13.916,-3.784
0.495,0.032,0.806,-26.428,-17.273,-7.812
0.467,0.028,0.850,-30.212,-21.912,-11.047
0.459,-0.002,0.900,-27.283,-25.024,-10.986
0.462,-0.039,0.933,-21.057,-27.649,-7.629
0.465,-0.065,0.956,-15.198,-28.687,-3.052
0.480,-0.069,0.954,-11.719,-27.771,1.587
0.499,-0.042,0.939,-9.949,-26.184,5.188
0.501,-0.015,0.907,-8.789,-24.902,5.676
0.507,0.001,0.875,-10.010,-22.827,2.441
0.501,0.016,0.864,-14.465,-21.423,-2.747
0.485,0.018,0.877,-18.555,-20.325,-8.972
0.468,0.001,0.886,-19.531,-17.944,-15.320
0.452,-0.034,0.885,-18.066,-15.930,-19.226
0.443,-0.075,0.883,-16.052,-14.343,-19.958
0.439,-0.102,0.879,-14.954,-12.634,-18.799
0.428,-0.111,0.881,-14.343,-11.841,-16.663
0.414,-0.122,0.880,-12.817,-10.559,-13.245
0.413,-0.129,0.849,-10.254,-9.155,-9.521
0.404,-0.116,0.828,-9.888,-9.216,-6.897
0.391,-0.107,0.822,-11.536,-9.155,-5.371
0.375,-0.100,0.819,-13.123,-9.155,-4.639
0.363,-0.102,0.828,-14.526,-9.399,-3.906
0.357,-0.102,0.850,-14.893,-11.047,-2.502
0.357,-0.110,0.874,-14.343,-13.245,0.549
0.353,-0.114,0.899,-12.573,-15.137,4.028
0.355,-0.115,0.922,-10.315,-15.686,7.996
0.365,-0.098,0.939,-7.751,-15.442,12.390
0.376,-0.087,0.936,-4.639,-16.052,16.418
0.386,-0.067,0.920,-2.930,-17.700,19.043
0.387,-0.037,0.918,-3.967,-19.287,18.555
0.380,-0.011,0.933,-6.409,-19.226,16.113
0.376,0.005,0.952,-7.996,-17.517,13.489
0.374,0.007,0.962,-8.118,-14.709,10.498
0.370,0.002,0.962,-7.141,-12.634,8.179
0.363,0.003,0.969,-6.714,-11.230,7.080
0.359,-0.004,0.973,-5.981,-9.583,7.080
0.363,-0.011,0.973,-4.822,-7.385,7.996
0.368,-0.016,0.961,-3.113,-5.249,8.911
0.366,-0.010,0.943,-2.747,-3.662,9.644
0.371,-0.006,0.932,-2.747,-2.441,9.705
0.367,-0.003,0.914,-2.930,-2.319,9.277
0.369,-0.001,0.901,-3.357,-2.319,8.545
0.374,0.002,0.896,-3.479,-2.380,7.629
0.381,0.003,0.905,-3.174,-3.296,6.470
0.377,0.001,0.924,-3.113,-5.066,5.066
0.376,-0.004,0.941,-2.991,-5.859,3.784
0.365,-0.009,0.949,-2.808,-5.676,2.991
0.354,-0.022,0.937,-2.197,-3.906,3.479
0.352,-0.031,0.930,-1.587,-1.892,4.272

0.449,0.562,1.583,-14.160,-14.038,-38.025
0.482,0.514,1.562,-4.578,-5.066,-48.340
0.459,0.446,1.503,3.967,5.188,-62.012
0.387,0.362,1.414,8.789,17.090,-77.759
0.303,0.278,1.309,9.521,29.663,-91.919
0.202,0.203,1.193,6.409,42.725,-104.309
0.115,0.132,1.083,1.038,55.237,-116.699
