aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.471742,0.041411,0.473556,0.325500,0.526855,0.000030,0.000721,0.523777,0.030082,0.524640,0.464401,0.646759,0.000016,0.000255,0.632829,0.157546,0.652146,0.385818,0.940292,0.000432,0.017496,0.501728,0.008744,0.501805,0.489716,0.525375,0.000001,0.000041,0.504946,0.040616,0.506577,0.391022,0.565674,0.000029,0.001198,0.502542,0.011633,0.502677,0.478546,0.533035,0.000002,0.000066
0.513673,0.014189,0.513869,0.465790,0.526474,0.000004,0.000068,0.534751,0.028480,0.535509,0.503250,0.609726,0.000014,0.000339,0.641011,0.056915,0.643533,0.593353,0.827835,0.000056,0.001296,0.503648,0.003977,0.503664,0.492508,0.515030,0.000000,0.000007,0.499336,0.014444,0.499544,0.446243,0.510696,0.000004,0.000064,0.500740,0.008329,0.500809,0.494339,0.531677,0.000001,0.000017
0.489454,0.040958,0.491164,0.379562,0.572418,0.000029,0.001136,0.514070,0.042750,0.515844,0.444412,0.641449,0.000032,0.000635,0.613938,0.114495,0.624523,0.425827,0.871750,0.000228,0.005065,0.504034,0.006623,0.504077,0.488617,0.516312,0.000001,0.000020,0.505781,0.032847,0.506846,0.412552,0.553680,0.000019,0.000719,0.503670,0.013051,0.503839,0.481552,0.537827,0.000003,0.000085
0.449768,0.039959,0.451540,0.343216,0.503235,0.000028,0.000784,0.508590,0.018549,0.508928,0.465240,0.571426,0.000006,0.000189,0.650834,0.093486,0.657514,0.509186,0.882843,0.000152,0.006224,0.500866,0.009999,0.500966,0.473312,0.519669,0.000002,0.000028,0.491396,0.029500,0.492281,0.416046,0.529724,0.000015,0.000472,0.499866,0.009823,0.499963,0.469559,0.512360,0.000002,0.000042
0.497294,0.024440,0.497894,0.430466,0.528854,0.000010,0.000393,0.507937,0.040090,0.509516,0.442490,0.620651,0.000028,0.001223,0.629444,0.098794,0.637150,0.458359,0.817749,0.000170,0.008543,0.500462,0.014492,0.500672,0.456665,0.524933,0.000004,0.000160,0.504683,0.028299,0.505476,0.438812,0.547516,0.000014,0.000754,0.502075,0.006800,0.502121,0.490509,0.516785,0.000001,0.000016
0.473835,0.038055,0.475361,0.403412,0.541122,0.000025,0.001136,0.557114,0.040972,0.558618,0.488998,0.660416,0.000029,0.001089,0.642276,0.129211,0.655144,0.438583,0.854767,0.000290,0.017295,0.498802,0.018140,0.499131,0.439758,0.535736,0.000006,0.000125,0.499789,0.036679,0.501134,0.433990,0.559906,0.000023,0.001106,0.503788,0.006688,0.503832,0.491577,0.519623,0.000001,0.000019
0.473643,0.040311,0.475355,0.389771,0.540573,0.000028,0.000763,0.542870,0.034668,0.543976,0.474411,0.640381,0.000021,0.000663,0.595348,0.122337,0.607787,0.424728,0.841583,0.000260,0.013518,0.501866,0.011659,0.502001,0.460648,0.519653,0.000002,0.000056,0.506480,0.041496,0.508177,0.420654,0.580475,0.000030,0.001714,0.504057,0.006150,0.504095,0.492111,0.515579,0.000001,0.000011
0.445233,0.059021,0.449128,0.295410,0.526062,0.000061,0.002418,0.545424,0.037357,0.546702,0.493668,0.634079,0.000024,0.000802,0.637600,0.143275,0.653499,0.406021,0.958099,0.000357,0.014320,0.498594,0.012996,0.498763,0.458862,0.517197,0.000003,0.000103,0.492766,0.046892,0.494992,0.379486,0.561264,0.000038,0.002080,0.502414,0.008356,0.502483,0.476807,0.519394,0.000001,0.000031
0.479575,0.050220,0.482197,0.372849,0.552597,0.000044,0.002425,0.538900,0.056567,0.541860,0.456009,0.740906,0.000056,0.001405,0.606474,0.111226,0.616589,0.374893,0.825195,0.000215,0.008909,0.499670,0.014857,0.499891,0.454895,0.524323,0.000004,0.000104,0.499300,0.035863,0.500586,0.391174,0.543152,0.000022,0.001042,0.505085,0.008529,0.505157,0.491180,0.533340,0.000001,0.000036
0.451864,0.069451,0.457170,0.240906,0.535400,0.000084,0.002375,0.530279,0.042274,0.531961,0.483139,0.676712,0.000031,0.000816,0.605385,0.145888,0.622716,0.301590,0.979996,0.000370,0.007174,0.503628,0.016653,0.503904,0.447708,0.529831,0.000005,0.000097,0.501969,0.044393,0.503928,0.381439,0.550262,0.000034,0.001531,0.501937,0.005051,0.501962,0.486588,0.512054,0.000000,0.000009
0.529259,0.034914,0.530409,0.430710,0.612411,0.000021,0.000840,0.519324,0.036300,0.520591,0.430054,0.612274,0.000023,0.000564,0.606376,0.113399,0.616889,0.373581,0.839798,0.000224,0.006937,0.498976,0.009801,0.499072,0.473129,0.523560,0.000002,0.000040,0.503919,0.025637,0.504571,0.433533,0.538239,0.000011,0.000337,0.502946,0.010439,0.503055,0.489563,0.542877,0.000002,0.000065
0.501832,0.028792,0.502657,0.417664,0.542648,0.000014,0.000300,0.540708,0.035359,0.541863,0.455124,0.618729,0.000022,0.000817,0.637606,0.117429,0.648329,0.421387,0.869064,0.000240,0.009952,0.500103,0.007768,0.500164,0.475082,0.513275,0.000001,0.000025,0.496367,0.029243,0.497228,0.420166,0.533371,0.000015,0.000703,0.503271,0.006977,0.503319,0.493622,0.520813,0.000001,0.000033
0.482802,0.040778,0.484521,0.402283,0.546570,0.000029,0.000778,0.527709,0.035557,0.528905,0.440842,0.628601,0.000022,0.000334,0.615372,0.128753,0.628697,0.400833,0.855560,0.000289,0.012289,0.500258,0.007681,0.500317,0.480713,0.521790,0.000001,0.000025,0.500201,0.032607,0.501263,0.411804,0.548843,0.000019,0.000996,0.502744,0.010234,0.502848,0.487427,0.541763,0.000002,0.000043
0.468827,0.040341,0.470560,0.369247,0.526871,0.000028,0.000718,0.528726,0.033881,0.529811,0.435379,0.616898,0.000020,0.000377,0.620012,0.140539,0.635740,0.352036,0.922287,0.000344,0.012448,0.500556,0.008235,0.500624,0.485962,0.519943,0.000001,0.000044,0.501364,0.037412,0.502757,0.400665,0.549240,0.000024,0.001268,0.503485,0.010269,0.503590,0.487732,0.534271,0.000002,0.000060
0.472508,0.052040,0.475365,0.358521,0.559906,0.000047,0.002333,0.526723,0.038210,0.528107,0.406601,0.637894,0.000025,0.000343,0.609645,0.138615,0.625205,0.279419,0.879532,0.000334,0.011507,0.500397,0.008683,0.500473,0.484665,0.528305,0.000001,0.000041,0.504566,0.036471,0.505883,0.391052,0.543777,0.000023,0.001089,0.502461,0.008999,0.502541,0.493683,0.545441,0.000001,0.000021
