aX,aY,aZ,gX,gY,gZ
-0.348,0.146,2.184,-26.550,-237.366,59.326
-0.351,0.060,2.275,-10.559,-229.553,62.134
-0.339,0.002,2.261,-2.441,-218.628,61.951
-0.361,-0.046,2.244,-5.798,-209.717,62.012
-0.367,-0.057,2.249,-18.677,-191.956,61.951
-0.352,-0.055,2.280,-36.255,-165.771,63.904
-0.310,0.002,2.281,-51.575,-135.376,68.909
-0.189,0.101,2.262,-60.608,-106.689,78.247
-0.046,0.205,2.223,-62.256,-89.050,89.478
0.069,0.295,2.214,-59.814,-81.787,98.633
0.147,0.415,2.257,-57.129,-79.773,105.042
0.224,0.581,2.343,-51.636,-76.538,108.276
0.298,0.710,2.475,-42.969,-71.228,105.530
0.351,0.761,2.606,-32.410,-62.988,96.313
0.369,0.768,2.711,-23.682,-45.959,82.642
0.375,0.778,2.758,-17.700,-20.264,67.383
0.365,0.780,2.738,-11.719,9.460,51.880
0.327,0.735,2.661,-4.150,38.391,36.865
0.272,0.660,2.551,3.174,65.186,24.902
0.222,0.588,2.445,7.996,89.539,16.663
0.173,0.533,2.343,10.071,111.328,11.414
0.135,0.470,2.224,10.925,130.432,7.751
0.101,0.435,2.131,9.033,147.522,4.517
0.067,0.404,2.049,6.287,161.743,0.610
0.021,0.358,1.977,4.456,173.767,-4.028
-0.015,0.326,1.907,2.380,186.401,-8.484
-0.034,0.311,1.838,0.549,198.853,-11.536
-0.044,0.302,1.764,-0.244,210.266,-13.489
-0.054,0.289,1.673,-0.488,220.154,-15.198
-0.063,0.265,1.581,-1.221,228.333,-18.311
-0.061,0.242,1.524,-3.845,234.985,-22.583
-0.057,0.221,1.477,-7.690,238.586,-26.489
-0.064,0.199,1.406,-10.864,240.967,-31.128
-0.075,0.191,1.324,-15.076,243.896,-37.415
-0.087,0.199,1.244,-17.700,245.361,-44.373
-0.089,0.191,1.155,-15.259,244.324,-49.805
-0.112,0.175,1.042,-8.301,239.685,-53.894
-0.123,0.132,0.920,0.610,232.300,-56.274
-0.120,0.095,0.804,9.521,223.999,-56.946
-0.113,0.066,0.670,14.893,216.370,-55.969
-0.122,0.052,0.519,17.029,208.618,-55.664
-0.121,0.033,0.370,16.235,203.186,-55.725
-0.113,0.018,0.215,12.451,199.402,-54.504
-0.075,0.026,0.102,4.822,194.763,-52.612
-0.049,0.062,0.042,-1.343,185.181,-52.368
-0.047,0.074,-0.016,1.465,171.448,-54.321
-0.060,0.028,-0.091,12.024,156.616,-57.556
-0.106,-0.057,-0.186,23.071,140.747,-59.326
-0.137,-0.129,-0.271,27.405,128.174,-58.105
-0.152,-0.150,-0.333,25.696,119.263,-53.040
-0.167,-0.164,-0.418,24.048,109.680,-46.265
-0.189,-0.169,-0.539,22.339,100.403,-39.917
-0.192,-0.159,-0.653,16.296,89.050,-33.936
-0.171,-0.112,-0.713,7.568,72.937,-26.672
-0.141,-0.042,-0.714,1.343,53.345,-20.264
-0.134,-0.025,-0.685,2.197,31.616,-17.944
-0.154,-0.067,-0.652,6.775,10.498,-17.151
-0.177,-0.128,-0.639,8.850,-4.639,-14.221
-0.195,-0.170,-0.644,6.409,-13.489,-9.949
-0.222,-0.201,-0.649,1.404,-19.958,-5.737
-0.237,-0.227,-0.654,-3.845,-27.222,-1.343
-0.234,-0.247,-0.649,-9.277,-37.964,4.089
-0.213,-0.220,-0.602,-17.029,-53.711,10.498
-0.185,-0.179,-0.483,-22.827,-73.303,17.578
-0.154,-0.165,-0.355,-21.240,-94.971,24.963
-0.112,-0.161,-0.235,-15.808,-114.563,32.349
-0.085,-0.153,-0.116,-10.925,-131.042,39.673
-0.077,-0.133,0.012,-8.179,-145.203,44.434
-0.071,-0.141,0.160,-6.775,-157.837,46.326
-0.073,-0.191,0.314,-6.958,-169.250,46.631
-0.071,-0.224,0.463,-9.155,-176.636,47.791
-0.034,-0.210,0.612,-10.986,-181.641,53.101
0.020,-0.184,0.717,-9.338,-187.317,62.378
0.132,-0.179,0.780,-1.709,-193.909,72.021
0.247,-0.142,0.827,6.165,-200.745,80.017
0.307,-0.107,0.933,10.742,-209.900,80.933
0.321,-0.092,1.136,11.780,-219.604,73.669
0.303,-0.128,1.383,8.911,-224.915,61.768
0.256,-0.180,1.592,2.686,-220.703,50.049
0.189,-0.152,1.743,-8.423,-208.130,43.640
0.157,-0.042,1.865,-19.409,-192.261,45.410
0.166,0.070,1.913,-22.644,-178.345,51.758
0.199,0.168,1.930,-18.677,-171.143,58.594
0.235,0.256,1.961,-12.146,-168.945,64.697
0.270,0.328,1.975,-4.028,-166.016,68.665
0.371,0.352,1.959,3.967,-159.180,68.909
0.489,0.344,1.961,9.155,-149.841,65.857
0.543,0.336,1.953,10.620,-141.052,59.387
0.582,0.295,1.946,9.827,-127.930,50.232
0.574,0.243,1.822,6.042,-115.662,39.368
0.537,0.195,1.756,-0.366,-104.187,29.419
0.470,0.197,1.653,-6.775,-92.896,23.499
0.412,0.270,1.671,-11.169,-84.167,21.851
0.386,0.342,1.759,-12.207,-83.679,23.376
0.350,0.365,1.887,-8.972,-88.013,25.574
0.296,0.373,2.053,-5.127,-88.501,26.489
0.204,0.359,2.235,-3.540,-80.566,23.926
0.113,0.337,2.393,-4.700,-61.584,19.165
0.057,0.332,2.498,-9.277,-33.203,15.442
0.045,0.331,2.531,-12.817,-1.892,13.855
0.064,0.348,2.504,-12.024,27.954,13.062
0.088,0.352,2.432,-7.629,52.368,12.024
0.102,0.335,2.340,-2.075,71.716,10.925
0.117,0.300,2.259,0.977,87.402,9.338
0.116,0.269,2.197,-0.244,101.501,7.385
0.107,0.251,2.142,-3.174,116.333,4.822
0.095,0.237,2.072,-4.150,132.080,3.052
0.087,0.244,1.979,-2.808,148.010,2.197
