aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.483450,0.106299,0.494999,0.217010,0.591309,0.000197,0.004648,0.385323,0.116828,0.402645,0.072693,0.623962,0.000238,0.006025,0.527966,0.147998,0.548317,0.253738,0.876251,0.000381,0.006113,0.502912,0.004723,0.502934,0.494019,0.518463,0.000000,0.000004,0.514812,0.042221,0.516541,0.469574,0.601120,0.000031,0.001314,0.495512,0.031463,0.496510,0.407669,0.526276,0.000017,0.000391
0.527877,0.077797,0.533579,0.229996,0.590469,0.000105,0.001909,0.384269,0.087051,0.394006,0.094986,0.617065,0.000132,0.002276,0.511513,0.123531,0.526218,0.294785,0.898682,0.000266,0.005712,0.498865,0.004272,0.498883,0.484375,0.507004,0.000000,0.000003,0.494781,0.030790,0.495738,0.467728,0.595917,0.000017,0.000487,0.499679,0.020760,0.500110,0.409576,0.531082,0.000008,0.000093
0.504479,0.115626,0.517560,0.166122,0.618652,0.000233,0.005217,0.399200,0.083012,0.407740,0.141693,0.620590,0.000120,0.001573,0.538651,0.160274,0.561990,0.279480,0.965775,0.000447,0.008140,0.499544,0.005520,0.499574,0.479492,0.512375,0.000001,0.000008,0.503399,0.038743,0.504888,0.458466,0.621933,0.000026,0.000697,0.498673,0.022992,0.499202,0.415390,0.550476,0.000009,0.000125
0.533678,0.087745,0.540843,0.183197,0.609848,0.000134,0.001853,0.395063,0.078535,0.402793,0.126373,0.591232,0.000107,0.001655,0.513452,0.123474,0.528090,0.306641,0.910767,0.000265,0.006884,0.500095,0.004265,0.500113,0.485245,0.510498,0.000000,0.000003,0.502313,0.031475,0.503298,0.468079,0.610977,0.000017,0.000494,0.499821,0.018783,0.500174,0.415863,0.514313,0.000006,0.000086
0.486532,0.126084,0.502604,0.102844,0.603241,0.000277,0.004553,0.381919,0.102119,0.395336,0.077789,0.600677,0.000182,0.003635,0.526098,0.200760,0.563102,0.156586,0.999939,0.000702,0.012613,0.497629,0.009480,0.497719,0.467667,0.523270,0.000002,0.000013,0.509688,0.039535,0.511219,0.460114,0.619919,0.000027,0.000776,0.495837,0.025375,0.496486,0.401123,0.532318,0.000011,0.000159
0.496936,0.097072,0.506329,0.191498,0.587769,0.000164,0.003167,0.379220,0.088346,0.389375,0.078552,0.639160,0.000136,0.002644,0.518179,0.150442,0.539576,0.182632,0.908829,0.000394,0.007844,0.498842,0.007727,0.498902,0.476517,0.519958,0.000001,0.000021,0.499213,0.031599,0.500212,0.471222,0.591400,0.000017,0.000558,0.497606,0.019194,0.497976,0.408325,0.517349,0.000006,0.000081
0.473467,0.092680,0.482453,0.219086,0.609222,0.000150,0.002955,0.511337,0.165407,0.537424,0.169037,0.935883,0.000476,0.007010,0.624436,0.055291,0.626879,0.504791,0.804260,0.000053,0.000810,0.501192,0.014025,0.501388,0.453003,0.531631,0.000003,0.000058,0.501140,0.014895,0.501361,0.471283,0.545151,0.000004,0.000051,0.495238,0.034852,0.496463,0.407547,0.529572,0.000021,0.000851
0.494446,0.072880,0.499788,0.262604,0.592880,0.000092,0.002424,0.495740,0.133202,0.513323,0.260971,0.895111,0.000309,0.008350,0.603399,0.043530,0.604967,0.509323,0.682953,0.000033,0.000602,0.499689,0.009643,0.499782,0.485275,0.534760,0.000002,0.000037,0.499727,0.012980,0.499896,0.475525,0.521805,0.000003,0.000060,0.500934,0.029163,0.501782,0.412827,0.534012,0.000015,0.000599
0.495284,0.095429,0.504394,0.140594,0.580185,0.000159,0.003357,0.500795,0.149419,0.522611,0.195831,0.970032,0.000389,0.006655,0.608215,0.039686,0.609509,0.480667,0.707397,0.000027,0.000387,0.498037,0.011138,0.498162,0.466034,0.536972,0.000002,0.000033,0.502859,0.011369,0.502988,0.476166,0.532440,0.000002,0.000029,0.502150,0.036314,0.503461,0.370438,0.545822,0.000023,0.000523
0.487269,0.105374,0.498533,0.106674,0.585571,0.000193,0.004738,0.490106,0.135079,0.508380,0.233337,0.930939,0.000318,0.008116,0.615461,0.082623,0.620983,0.391937,0.922913,0.000119,0.001695,0.503380,0.014058,0.503576,0.456146,0.545700,0.000003,0.000072,0.497218,0.025259,0.497859,0.387177,0.526245,0.000011,0.000193,0.495472,0.042710,0.497309,0.385422,0.539734,0.000032,0.001392
0.502849,0.103818,0.513455,0.147949,0.596619,0.000188,0.004448,0.468373,0.181029,0.502140,0.000061,0.972412,0.000571,0.011298,0.577713,0.069190,0.581841,0.416611,0.709717,0.000083,0.002207,0.504529,0.018823,0.504880,0.486877,0.577286,0.000006,0.000108,0.506837,0.017032,0.507123,0.468323,0.556976,0.000005,0.000066,0.501081,0.035682,0.502350,0.367325,0.527420,0.000022,0.000585
0.511918,0.098364,0.521282,0.159103,0.639114,0.000168,0.003580,0.410604,0.098123,0.422165,0.130936,0.585663,0.000168,0.003773,0.530398,0.156985,0.553142,0.104584,0.834152,0.000429,0.009467,0.508923,0.013911,0.509114,0.481857,0.539261,0.000003,0.000127,0.501008,0.038616,0.502494,0.467834,0.633179,0.000026,0.000629,0.509055,0.027414,0.509793,0.436111,0.552521,0.000013,0.000521
0.485888,0.127624,0.502369,0.163971,0.632172,0.000284,0.006900,0.383722,0.106272,0.398167,0.052124,0.608215,0.000197,0.003608,0.523541,0.173279,0.551471,0.175674,0.866135,0.000523,0.009329,0.497643,0.005122,0.497669,0.484146,0.509094,0.000000,0.000007,0.509041,0.046053,0.511120,0.472778,0.628616,0.000037,0.001299,0.495754,0.031486,0.496753,0.394958,0.524567,0.000017,0.000367
0.522007,0.098961,0.531304,0.202667,0.640549,0.000170,0.002777,0.384091,0.095551,0.395798,0.066513,0.604523,0.000159,0.002846,0.509383,0.124955,0.524485,0.254303,0.814835,0.000272,0.006404,0.500245,0.004892,0.500269,0.487473,0.510269,0.000000,0.000013,0.496118,0.034516,0.497317,0.464249,0.600296,0.000021,0.000622,0.499501,0.026622,0.500210,0.400040,0.518478,0.000012,0.000223
0.500339,0.107433,0.511743,0.172073,0.580780,0.000201,0.004560,0.405247,0.098331,0.417006,0.114578,0.674515,0.000168,0.002681,0.546107,0.153633,0.567306,0.243027,0.925629,0.000411,0.008977,0.498386,0.008507,0.498458,0.473816,0.511642,0.000001,0.000011,0.504301,0.034656,0.505490,0.475739,0.604935,0.000021,0.000695,0.498179,0.025236,0.498817,0.383255,0.517929,0.000011,0.000217
0.514569,0.078941,0.520589,0.255661,0.598206,0.000109,0.002271,0.385745,0.098397,0.398097,0.146545,0.681656,0.000169,0.002554,0.509758,0.117660,0.523161,0.314438,0.777527,0.000241,0.009737,0.500447,0.006665,0.500492,0.481949,0.519669,0.000001,0.000012,0.503109,0.030200,0.504015,0.472778,0.587570,0.000016,0.000600,0.500282,0.023010,0.500811,0.402908,0.516006,0.000009,0.000171
0.504411,0.114647,0.517276,0.188324,0.655624,0.000229,0.004635,0.395579,0.114606,0.411846,0.000061,0.609848,0.000229,0.002004,0.537876,0.148369,0.557965,0.189957,0.897812,0.000383,0.007248,0.495996,0.007010,0.496046,0.466156,0.503647,0.000001,0.000022,0.507385,0.038206,0.508821,0.476913,0.621658,0.000025,0.000831,0.495805,0.031227,0.496787,0.383545,0.535156,0.000017,0.000201
0.520608,0.101445,0.530399,0.156555,0.640747,0.000179,0.003874,0.394952,0.083530,0.403688,0.143738,0.598038,0.000121,0.002273,0.509793,0.148612,0.531013,0.242462,0.947617,0.000384,0.007090,0.498950,0.013011,0.499120,0.475418,0.540817,0.000003,0.000097,0.501062,0.036468,0.502388,0.465210,0.612015,0.000023,0.000482,0.501547,0.023853,0.502114,0.413940,0.532333,0.000010,0.000171
0.495324,0.109698,0.507326,0.170761,0.609375,0.000209,0.003990,0.469010,0.190218,0.506116,0.116867,0.958710,0.000630,0.012089,0.618801,0.058441,0.621555,0.506622,0.751633,0.000059,0.001371,0.495575,0.011723,0.495714,0.456833,0.514023,0.000002,0.000039,0.502374,0.016357,0.502640,0.464691,0.548508,0.000005,0.000063,0.490205,0.044299,0.492202,0.364594,0.534943,0.000034,0.001043
0.490172,0.087625,0.497942,0.265289,0.582932,0.000134,0.003569,0.498984,0.173092,0.528153,0.169052,0.920746,0.000521,0.008083,0.612324,0.074785,0.616874,0.406631,0.790039,0.000097,0.001805,0.499709,0.009671,0.499803,0.473740,0.525284,0.000002,0.000024,0.497888,0.022713,0.498405,0.419159,0.529755,0.000009,0.000153,0.494385,0.044935,0.496423,0.369095,0.540512,0.000035,0.000953
0.505670,0.066277,0.509995,0.294876,0.558563,0.000076,0.001536,0.460554,0.124453,0.477073,0.161880,0.731934,0.000270,0.005624,0.601177,0.040520,0.602541,0.503067,0.714325,0.000029,0.000429,0.505843,0.007619,0.505900,0.487640,0.527740,0.000001,0.000014,0.502869,0.013580,0.503052,0.465515,0.544266,0.000003,0.000044,0.500600,0.032239,0.501637,0.378937,0.522736,0.000018,0.000405
0.512684,0.113055,0.525002,0.070724,0.701523,0.000222,0.002227,0.480150,0.171684,0.509921,0.120926,0.987961,0.000513,0.009876,0.591179,0.098944,0.599401,0.398483,0.971466,0.000170,0.002149,0.497894,0.012775,0.498058,0.458755,0.532028,0.000003,0.000047,0.500488,0.023070,0.501019,0.413971,0.578476,0.000009,0.000079,0.503850,0.027653,0.504608,0.397202,0.531326,0.000013,0.000361
0.529438,0.069829,0.534023,0.315308,0.665756,0.000085,0.001466,0.453013,0.131163,0.471619,0.140167,0.834427,0.000299,0.005883,0.608562,0.069986,0.612573,0.406830,0.840988,0.000085,0.001678,0.500937,0.013315,0.501114,0.457626,0.546112,0.000003,0.000061,0.501440,0.017799,0.501756,0.436356,0.533951,0.000006,0.000107,0.499608,0.029660,0.500487,0.373245,0.538132,0.000015,0.000291
0.534919,0.058552,0.538114,0.388718,0.674072,0.000060,0.001159,0.446449,0.119821,0.462248,0.199280,0.880951,0.000250,0.003607,0.599920,0.033236,0.600840,0.510925,0.709213,0.000019,0.000394,0.501473,0.012038,0.501618,0.459183,0.521957,0.000003,0.000047,0.501426,0.010213,0.501530,0.468277,0.517868,0.000002,0.000033,0.503048,0.027603,0.503805,0.388550,0.533279,0.000013,0.000322
0.531434,0.074542,0.536637,0.296829,0.603394,0.000097,0.002399,0.427945,0.136600,0.449218,0.104248,0.883209,0.000325,0.004660,0.575356,0.080288,0.580931,0.435303,0.850159,0.000112,0.001539,0.512347,0.008872,0.512424,0.482925,0.548096,0.000001,0.000018,0.494135,0.018179,0.494469,0.446854,0.545151,0.000006,0.000096,0.501294,0.032164,0.502324,0.375504,0.523087,0.000018,0.000480
0.530654,0.076797,0.536182,0.273727,0.608002,0.000103,0.001857,0.383720,0.116622,0.401051,0.017014,0.606964,0.000237,0.003027,0.493822,0.134657,0.511852,0.234894,0.804657,0.000316,0.011020,0.499930,0.007551,0.499987,0.481079,0.527283,0.000001,0.000011,0.504545,0.039278,0.506071,0.472015,0.610443,0.000027,0.001013,0.499691,0.032310,0.500735,0.377228,0.537827,0.000018,0.000247
0.487179,0.092664,0.495913,0.242218,0.563339,0.000149,0.004974,0.398950,0.139069,0.422494,0.064774,0.743317,0.000336,0.005446,0.550419,0.125836,0.564620,0.193237,0.786377,0.000275,0.008713,0.489395,0.016530,0.489674,0.440765,0.537704,0.000005,0.000101,0.503632,0.042707,0.505440,0.462997,0.667801,0.000032,0.001163,0.488658,0.048803,0.491089,0.349548,0.530869,0.000041,0.001294
