aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.566955,0.010572,0.567054,0.547043,0.598679,0.000002,0.000057,0.400965,0.011605,0.401133,0.365448,0.426605,0.000002,0.000055,0.528824,0.018404,0.529144,0.492447,0.573288,0.000006,0.000084,0.510566,0.014837,0.510781,0.488235,0.562881,0.000004,0.000166,0.497593,0.008329,0.497663,0.482544,0.521698,0.000001,0.000036,0.499976,0.004886,0.499999,0.492615,0.526184,0.000000,0.000005
0.447172,0.118344,0.462566,0.141327,0.584000,0.000244,0.008078,0.380790,0.134991,0.404009,0.082169,0.641418,0.000317,0.009571,0.440024,0.220355,0.492115,0.000061,0.890457,0.000845,0.021232,0.494259,0.022571,0.494774,0.404358,0.525696,0.000009,0.000178,0.513740,0.056177,0.516803,0.444595,0.637772,0.000055,0.001605,0.509503,0.040032,0.511073,0.453781,0.604858,0.000028,0.000784
0.514016,0.089092,0.521680,0.211838,0.603165,0.000138,0.002321,0.370844,0.063655,0.376268,0.211670,0.516418,0.000071,0.001313,0.512124,0.200065,0.549815,0.000061,0.956772,0.000697,0.015779,0.496803,0.020660,0.497232,0.400452,0.515396,0.000007,0.000151,0.502052,0.046892,0.504237,0.456360,0.656601,0.000038,0.001087,0.501917,0.017934,0.502237,0.477646,0.574554,0.000006,0.000103
0.497685,0.115412,0.510891,0.111786,0.586472,0.000232,0.004317,0.399079,0.097619,0.410845,0.158005,0.599030,0.000166,0.003269,0.435182,0.195753,0.477182,0.000061,0.935257,0.000668,0.014236,0.502527,0.018440,0.502865,0.424469,0.524841,0.000006,0.000123,0.500096,0.047558,0.502353,0.452026,0.669098,0.000039,0.001066,0.499881,0.027214,0.500621,0.473190,0.591919,0.000013,0.000259
0.490047,0.113366,0.502989,0.156784,0.569565,0.000224,0.005919,0.372072,0.088601,0.382475,0.192154,0.594498,0.000137,0.003377,0.498723,0.190929,0.534021,0.000061,0.974152,0.000634,0.014578,0.496101,0.016559,0.496378,0.444199,0.519257,0.000005,0.000151,0.510723,0.057756,0.513978,0.443161,0.663208,0.000058,0.002358,0.505652,0.029054,0.506486,0.471848,0.586319,0.000015,0.000462
0.502021,0.100654,0.512012,0.157791,0.598633,0.000176,0.004111,0.407041,0.084413,0.415702,0.232330,0.630646,0.000124,0.002688,0.431754,0.172501,0.464939,0.000061,0.817673,0.000518,0.012886,0.499840,0.017297,0.500139,0.407455,0.523071,0.000005,0.000089,0.498423,0.049893,0.500914,0.440109,0.653717,0.000043,0.001550,0.496954,0.021111,0.497403,0.468994,0.573624,0.000008,0.000226
0.485405,0.090255,0.493724,0.272751,0.568237,0.000142,0.004113,0.377916,0.071960,0.384706,0.238358,0.511078,0.000090,0.002322,0.476029,0.190548,0.512750,0.141037,0.962952,0.000632,0.013777,0.496108,0.019860,0.496505,0.430634,0.516403,0.000007,0.000189,0.515009,0.060428,0.518542,0.444489,0.662567,0.000064,0.002789,0.506636,0.023167,0.507166,0.484024,0.572693,0.000009,0.000324
0.479010,0.101343,0.489613,0.195618,0.568985,0.000179,0.003504,0.375128,0.087170,0.385123,0.177765,0.587067,0.000132,0.003184,0.492168,0.212956,0.536265,0.050674,0.969452,0.000789,0.016781,0.495180,0.023143,0.495720,0.406540,0.532486,0.000009,0.000127,0.514945,0.061411,0.518594,0.442764,0.664703,0.000066,0.002174,0.506267,0.025796,0.506924,0.473373,0.581512,0.000012,0.000360
0.486683,0.113399,0.499719,0.090271,0.571594,0.000224,0.004148,0.402026,0.099335,0.414116,0.125107,0.558929,0.000172,0.004614,0.434696,0.178659,0.469978,0.018524,0.946228,0.000556,0.009296,0.501228,0.018037,0.501552,0.428787,0.527573,0.000006,0.000100,0.494183,0.051689,0.496879,0.442001,0.663483,0.000047,0.001127,0.495563,0.029597,0.496446,0.464874,0.600266,0.000015,0.000480
0.459394,0.120049,0.474820,0.061966,0.581833,0.000251,0.006032,0.378686,0.143688,0.405030,0.038773,0.754486,0.000359,0.007896,0.486552,0.176091,0.517437,0.011993,0.844574,0.000540,0.016548,0.504383,0.015121,0.504610,0.478333,0.552673,0.000004,0.000068,0.502109,0.041689,0.503837,0.457581,0.610336,0.000030,0.000873,0.502454,0.034587,0.503643,0.466568,0.614105,0.000021,0.000345
0.467898,0.103723,0.479257,0.117065,0.564423,0.000187,0.003202,0.417631,0.119606,0.434420,0.148621,0.690201,0.000249,0.006146,0.410307,0.182077,0.448892,0.010300,0.800827,0.000576,0.018954,0.499904,0.016402,0.500172,0.436340,0.529327,0.000005,0.000068,0.498941,0.047188,0.501168,0.442917,0.632645,0.000039,0.001313,0.501539,0.033633,0.502666,0.459961,0.617096,0.000020,0.000373
0.441034,0.114868,0.455748,0.116348,0.540970,0.000230,0.005572,0.373545,0.084444,0.382971,0.181381,0.594742,0.000124,0.002439,0.474038,0.193238,0.511911,0.050629,0.810410,0.000650,0.014178,0.495980,0.014180,0.496182,0.449677,0.516907,0.000004,0.000070,0.515487,0.064080,0.519455,0.435715,0.651337,0.000071,0.003170,0.507562,0.033354,0.508656,0.470123,0.589294,0.000019,0.000611
0.487953,0.064462,0.492193,0.283737,0.549820,0.000072,0.002021,0.386531,0.066132,0.392148,0.210052,0.564011,0.000076,0.001733,0.446755,0.158623,0.474080,0.073029,0.755890,0.000438,0.012032,0.502744,0.019024,0.503104,0.417343,0.528931,0.000006,0.000156,0.493688,0.051443,0.496361,0.432724,0.619766,0.000046,0.001999,0.495179,0.019954,0.495581,0.467102,0.554199,0.000007,0.000249
0.434055,0.127092,0.452278,0.079666,0.550461,0.000281,0.006682,0.380021,0.111932,0.396162,0.155167,0.628052,0.000218,0.005579,0.459576,0.232686,0.515124,0.031769,0.881409,0.000942,0.020213,0.497949,0.019386,0.498327,0.411011,0.537323,0.000007,0.000063,0.514547,0.063133,0.518405,0.430099,0.659439,0.000069,0.002671,0.509792,0.033078,0.510864,0.466721,0.614151,0.000019,0.000596
0.465882,0.089100,0.474325,0.155945,0.525070,0.000138,0.002614,0.379616,0.103381,0.393441,0.119064,0.673187,0.000186,0.003891,0.460971,0.175299,0.493178,0.045609,0.850204,0.000534,0.011488,0.500395,0.014901,0.500617,0.433609,0.516937,0.000004,0.000090,0.488363,0.054753,0.491423,0.436081,0.658020,0.000052,0.001784,0.494449,0.028577,0.495275,0.466705,0.582886,0.000014,0.000376
0.461142,0.100877,0.472047,0.198380,0.562866,0.000177,0.003991,0.394589,0.089562,0.404625,0.185715,0.596146,0.000139,0.002661,0.431532,0.203449,0.477086,0.091583,0.867233,0.000720,0.016022,0.497041,0.014120,0.497241,0.446259,0.516785,0.000003,0.000057,0.516718,0.057092,0.519863,0.455841,0.636169,0.000057,0.001965,0.507329,0.023828,0.507888,0.479736,0.572968,0.000010,0.000306
0.424140,0.138172,0.446079,0.075272,0.555130,0.000332,0.007176,0.389034,0.118368,0.406642,0.105103,0.631622,0.000244,0.005465,0.447423,0.227990,0.502162,0.031143,0.902176,0.000904,0.021576,0.499851,0.013836,0.500042,0.458755,0.533630,0.000003,0.000037,0.514230,0.062183,0.517976,0.447418,0.676163,0.000067,0.002260,0.511149,0.034921,0.512341,0.471130,0.606201,0.000021,0.000688
0.461630,0.110409,0.474650,0.096222,0.549530,0.000212,0.004554,0.375272,0.082081,0.384144,0.104111,0.565231,0.000117,0.002865,0.458645,0.179913,0.492670,0.048431,0.929077,0.000563,0.011211,0.498754,0.014683,0.498970,0.440872,0.517181,0.000004,0.000063,0.489159,0.057289,0.492502,0.440399,0.668900,0.000057,0.001811,0.496664,0.032778,0.497745,0.466812,0.602448,0.000019,0.000530
0.449171,0.096251,0.459368,0.221588,0.563049,0.000161,0.004402,0.381192,0.094508,0.392732,0.187225,0.562454,0.000155,0.004525,0.439204,0.223015,0.492580,0.000061,0.932220,0.000866,0.020059,0.495412,0.018372,0.495752,0.437134,0.518021,0.000006,0.000156,0.512806,0.062963,0.516657,0.437759,0.650452,0.000069,0.002549,0.505459,0.027507,0.506207,0.471893,0.572754,0.000013,0.000455
0.498891,0.085606,0.506182,0.229462,0.572617,0.000127,0.003905,0.397145,0.069680,0.403211,0.145279,0.512741,0.000084,0.001828,0.523912,0.167004,0.549885,0.133835,0.890564,0.000485,0.011003,0.481602,0.016345,0.481879,0.436615,0.518967,0.000005,0.000098,0.507726,0.044699,0.509690,0.461914,0.645462,0.000035,0.001029,0.505506,0.018856,0.505857,0.468185,0.562546,0.000006,0.000199
0.454577,0.103345,0.466176,0.136993,0.603241,0.000186,0.005044,0.503355,0.186697,0.536863,0.100082,0.999939,0.000607,0.014658,0.625151,0.043279,0.626647,0.480576,0.713638,0.000033,0.000674,0.503714,0.011263,0.503839,0.475723,0.525284,0.000002,0.000040,0.499364,0.015386,0.499601,0.473999,0.542023,0.000004,0.000108,0.509302,0.060294,0.512859,0.355362,0.585373,0.000063,0.001966
0.426014,0.128748,0.445044,0.101028,0.552200,0.000289,0.007812,0.482800,0.207532,0.525514,0.097916,0.935333,0.000750,0.018975,0.629187,0.053219,0.631434,0.543076,0.814484,0.000049,0.000521,0.496865,0.018379,0.497205,0.442871,0.522781,0.000006,0.000120,0.498786,0.010822,0.498903,0.461655,0.519836,0.000002,0.000048,0.483967,0.072373,0.489348,0.330093,0.566818,0.000091,0.004048
0.444487,0.124297,0.461539,0.106430,0.587906,0.000269,0.008508,0.486855,0.247251,0.546041,0.008194,0.999939,0.001064,0.029151,0.622383,0.058741,0.625148,0.494843,0.837921,0.000060,0.001578,0.499365,0.011895,0.499507,0.458603,0.512909,0.000002,0.000030,0.500953,0.007911,0.501016,0.487198,0.520966,0.000001,0.000021,0.486078,0.064728,0.490369,0.340530,0.554550,0.000073,0.001826
0.458774,0.080601,0.465801,0.219635,0.524597,0.000113,0.002327,0.499959,0.174947,0.529684,0.099411,0.874069,0.000533,0.012470,0.623151,0.054212,0.625505,0.475082,0.777939,0.000051,0.000965,0.502560,0.009029,0.502641,0.462021,0.521484,0.000001,0.000025,0.499341,0.014041,0.499539,0.479309,0.551453,0.000003,0.000063,0.513897,0.059326,0.517310,0.351517,0.566345,0.000061,0.002235
0.444778,0.125635,0.462182,0.159119,0.590958,0.000274,0.008216,0.442728,0.223074,0.495752,0.016312,0.993973,0.000865,0.017809,0.627851,0.069916,0.631732,0.447235,0.847809,0.000085,0.001843,0.498118,0.020565,0.498542,0.415710,0.533905,0.000007,0.000077,0.499954,0.012201,0.500103,0.469070,0.532898,0.000003,0.000052,0.491480,0.063486,0.495563,0.349533,0.554031,0.000070,0.001544
0.443036,0.104006,0.455080,0.187378,0.575195,0.000188,0.005595,0.497195,0.221003,0.544100,0.107651,0.954620,0.000850,0.019206,0.624181,0.045927,0.625868,0.534851,0.742004,0.000037,0.000493,0.499715,0.015952,0.499969,0.446594,0.539200,0.000004,0.000051,0.502229,0.012884,0.502394,0.478790,0.534332,0.000003,0.000080,0.486322,0.062913,0.490374,0.350204,0.566498,0.000069,0.002485
