aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.449310,0.042496,0.451315,0.343155,0.530136,0.000000,0.000001,0.470661,0.053991,0.473748,0.376007,0.588501,0.000000,0.000002,0.633726,0.147733,0.650718,0.393555,0.931015,0.000000,0.000017,0.501364,0.006090,0.501401,0.490463,0.517944,0.000000,0.000000,0.494592,0.044101,0.496554,0.414017,0.578934,0.000000,0.000002,0.500027,0.009991,0.500127,0.483749,0.519714,0.000000,0.000000
0.325621,0.115117,0.345370,0.000061,0.480423,0.000000,0.000003,0.459700,0.133977,0.478826,0.076981,0.700974,0.000000,0.000007,0.523735,0.330531,0.619313,0.000061,0.999939,0.000002,0.000057,0.495364,0.022925,0.495894,0.427063,0.571182,0.000000,0.000000,0.503248,0.089041,0.511065,0.287598,0.604218,0.000000,0.000003,0.504163,0.020642,0.504586,0.455124,0.542419,0.000000,0.000000
0.278709,0.119192,0.303126,0.000061,0.499771,0.000000,0.000005,0.451099,0.117500,0.466151,0.098984,0.676910,0.000000,0.000007,0.539878,0.397696,0.670545,0.000061,0.999939,0.000003,0.000143,0.495533,0.018846,0.495891,0.468048,0.552277,0.000000,0.000000,0.499910,0.090784,0.508086,0.315094,0.604477,0.000000,0.000007,0.501526,0.015220,0.501757,0.468353,0.529144,0.000000,0.000000
0.388299,0.075275,0.395529,0.193359,0.537613,0.000000,0.000002,0.453260,0.082392,0.460688,0.256226,0.603745,0.000000,0.000003,0.541238,0.339725,0.639024,0.000061,0.999939,0.000002,0.000068,0.499942,0.017260,0.500240,0.475021,0.544296,0.000000,0.000000,0.494542,0.067617,0.499143,0.348389,0.573990,0.000000,0.000002,0.499712,0.014415,0.499920,0.472076,0.524277,0.000000,0.000000
0.456294,0.044019,0.458413,0.316620,0.520218,0.000000,0.000001,0.473136,0.050257,0.475798,0.355194,0.584320,0.000000,0.000002,0.592789,0.209431,0.628697,0.193787,0.999939,0.000001,0.000032,0.499442,0.009891,0.499539,0.480820,0.520187,0.000000,0.000000,0.497087,0.042016,0.498859,0.406677,0.548935,0.000000,0.000001,0.499191,0.010576,0.499303,0.477768,0.516052,0.000000,0.000000
0.464090,0.028253,0.464949,0.398849,0.519058,0.000000,0.000001,0.464684,0.040013,0.466403,0.372025,0.541473,0.000000,0.000001,0.632538,0.135340,0.646855,0.372925,0.917450,0.000000,0.000008,0.498033,0.009178,0.498118,0.471313,0.528656,0.000000,0.000000,0.507942,0.039873,0.509505,0.420380,0.561813,0.000000,0.000001,0.501966,0.007930,0.502029,0.482819,0.517853,0.000000,0.000000
0.461857,0.033591,0.463077,0.372955,0.521835,0.000000,0.000001,0.468079,0.038264,0.469641,0.387482,0.536942,0.000000,0.000001,0.654549,0.148444,0.671171,0.370834,0.913467,0.000000,0.000015,0.499215,0.007740,0.499275,0.480850,0.520523,0.000000,0.000000,0.492629,0.043954,0.494586,0.401367,0.559402,0.000000,0.000001,0.501402,0.009101,0.501485,0.478699,0.518906,0.000000,0.000000
0.459919,0.042235,0.461854,0.325058,0.511490,0.000000,0.000001,0.490694,0.051342,0.493373,0.371353,0.558350,0.000000,0.000001,0.559239,0.171980,0.585086,0.374130,0.974274,0.000001,0.000019,0.498272,0.006554,0.498315,0.488342,0.517792,0.000000,0.000000,0.504168,0.057244,0.507408,0.357986,0.567917,0.000000,0.000002,0.500428,0.012251,0.500578,0.464111,0.516815,0.000000,0.000000
0.449318,0.030891,0.450379,0.363983,0.506927,0.000000,0.000000,0.468666,0.047893,0.471107,0.354156,0.561646,0.000000,0.000001,0.632115,0.145205,0.648578,0.359375,0.889359,0.000000,0.000010,0.498944,0.006829,0.498990,0.485092,0.519180,0.000000,0.000000,0.499387,0.042862,0.501223,0.380341,0.565857,0.000000,0.000001,0.499882,0.011128,0.500006,0.467407,0.515137,0.000000,0.000000
0.444961,0.048005,0.447543,0.373352,0.537552,0.000000,0.000002,0.468654,0.049190,0.471228,0.303055,0.550003,0.000000,0.000001,0.595154,0.139308,0.611240,0.404022,0.991394,0.000000,0.000009,0.496659,0.011818,0.496799,0.477142,0.540909,0.000000,0.000000,0.513399,0.060828,0.516989,0.373047,0.612076,0.000000,0.000003,0.503508,0.011542,0.503641,0.471680,0.520767,0.000000,0.000000
0.427009,0.054072,0.430419,0.251953,0.574493,0.000000,0.000001,0.456096,0.059390,0.459946,0.218689,0.588486,0.000000,0.000002,0.618487,0.160567,0.638990,0.219498,0.917511,0.000000,0.000013,0.501220,0.023154,0.501754,0.452255,0.553162,0.000000,0.000000,0.489786,0.071088,0.494918,0.341507,0.645798,0.000000,0.000003,0.498346,0.015600,0.498590,0.452820,0.521973,0.000000,0.000000
