aX,aY,aZ,gX,gY,gZ
-0.313,0.078,1.127,-31.189,108.521,-6.165

-0.510,0.499,1.653,6.958,3.052,-38.513
-0.475,0.527,1.775,12.390,-13.062,-29.907
-0.449,0.513,1.817,14.771,-32.104,-20.752
-0.433,0.484,1.816,8.789,-48.401,-8.606
-0.436,0.482,1.815,-4.883,-62.195,5.493
-0.422,0.488,1.772,-19.043,-72.571,19.958
-0.410,0.502,1.760,-30.212,-81.665,29.419
-0.411,0.514,1.702,-36.255,-96.069,35.278
-0.420,0.525,1.594,-37.109,-116.455,41.016
-0.420,0.527,1.473,-39.246,-132.812,47.546
-0.443,0.536,1.351,-44.189,-143.738,55.786
-0.468,0.560,1.221,-47.913,-151.184,64.148
-0.502,0.568,1.131,-51.270,-155.579,71.350
-0.485,0.589,1.071,-50.964,-157.166,76.843
-0.459,0.616,1.040,-44.312,-155.518,80.261
-0.442,0.587,1.007,-33.752,-156.982,84.351
-0.423,0.552,0.975,-23.071,-160.034,90.088
-0.390,0.530,0.916,-16.846,-160.767,96.436
-0.348,0.502,0.859,-14.954,-163.696,105.225
-0.330,0.483,0.782,-13.000,-169.800,117.432
-0.325,0.458,0.681,-8.972,-176.025,130.737
-0.365,0.395,0.584,-0.977,-182.007,143.188
-0.366,0.325,0.495,11.963,-184.570,152.527
-0.378,0.221,0.429,25.024,-183.655,158.752
-0.392,0.092,0.379,33.447,-180.603,162.781
-0.402,0.071,0.326,39.001,-175.537,163.757
-0.400,0.044,0.259,45.776,-174.255,161.133
-0.368,0.013,0.184,56.641,-177.063,155.701
-0.344,0.000,0.128,70.496,-181.641,149.475
-0.330,-0.051,0.121,83.923,-186.035,143.433
-0.327,-0.077,0.110,93.506,-187.439,135.986
-0.336,-0.113,0.057,92.834,-191.284,127.869
-0.356,-0.173,-0.004,80.200,-193.604,123.596
-0.355,-0.165,-0.089,59.082,-188.660,122.009
-0.396,-0.140,-0.172,36.194,-183.899,121.155
-0.431,-0.113,-0.272,19.531,-182.251,119.629
-0.480,-0.120,-0.382,10.559,-181.519,116.638
-0.564,-0.171,-0.484,5.798,-179.199,114.075
-0.630,-0.186,-0.570,0.916,-170.105,110.413
-0.721,-0.184,-0.600,-0.610,-158.203,105.530
-0.800,-0.184,-0.624,5.554,-144.836,102.905
-0.823,-0.159,-0.642,18.066,-129.639,101.196
-0.820,-0.168,-0.666,33.142,-119.751,99.304
-0.858,-0.266,-0.676,46.082,-111.206,100.952
-0.868,-0.348,-0.679,51.086,-99.243,102.417
-0.878,-0.418,-0.690,47.852,-90.759,97.778
-0.884,-0.517,-0.728,40.222,-88.989,88.196
-0.840,-0.580,-0.801,30.151,-89.844,77.087
-0.785,-0.630,-0.881,18.616,-90.393,65.308
-0.771,-0.677,-0.963,8.911,-89.844,54.260
-0.785,-0.679,-0.995,4.395,-88.379,46.265
-0.859,-0.702,-1.004,3.113,-83.679,39.551
-1.028,-0.757,-1.020,6.531,-70.557,29.968
-1.004,-0.771,-1.070,13.550,-38.940,14.404
-0.986,-0.703,-0.967,12.939,-21.851,-1.282
-0.956,-0.619,-0.812,12.939,-10.681,-16.541
-0.912,-0.504,-0.641,14.587,1.709,-30.334
-0.833,-0.378,-0.535,19.470,8.667,-44.678
-0.730,-0.276,-0.527,23.926,14.404,-52.734
-0.603,-0.146,-0.600,22.156,24.109,-47.485
-0.552,-0.037,-0.694,13.184,35.156,-31.738
-0.554,0.033,-0.778,5.066,44.128,-10.071
-0.636,0.069,-0.845,3.967,48.828,10.681
-0.736,0.050,-0.880,9.583,52.307,27.100
-0.825,0.008,-0.870,17.822,58.411,36.743
-0.869,-0.047,-0.854,25.208,67.078,38.757
-0.837,-0.109,-0.802,26.978,75.256,36.194
-0.789,-0.169,-0.737,25.696,82.947,32.715
-0.733,-0.219,-0.691,24.963,87.463,29.846
-0.683,-0.287,-0.663,22.705,89.294,26.611
-0.649,-0.354,-0.672,18.921,88.806,22.400
-0.630,-0.410,-0.724,11.963,86.731,16.907
-0.614,-0.457,-0.796,2.014,83.313,7.751
-0.604,-0.491,-0.871,-10.254,80.566,-2.625
-0.581,-0.545,-0.898,-22.766,82.092,-13.184
-0.586,-0.633,-0.907,-33.630,87.708,-25.879
-0.584,-0.746,-0.950,-46.265,97.534,-42.725
-0.597,-0.855,-0.926,-65.186,112.488,-63.293
-0.681,-0.915,-0.814,-84.839,135.864,-88.074
-0.704,-0.892,-0.646,-97.107,168.396,-115.173
-0.640,-0.738,-0.463,-96.863,203.003,-142.761
-0.519,-0.591,-0.238,-88.074,227.966,-168.823
-0.398,-0.422,0.009,-73.853,241.272,-187.195
-0.404,-0.305,0.160,-61.462,244.751,-197.632
-0.405,-0.238,0.224,-61.401,245.911,-201.965
-0.413,-0.140,0.290,-73.730,250.366,-202.698
-0.508,-0.121,0.382,-86.243,258.850,-200.989
-0.527,0.030,0.508,-89.417,275.757,-200.317
-0.418,0.313,0.789,-78.735,294.189,-204.895
-0.322,0.489,1.004,-50.049,295.959,-208.679
-0.253,0.610,1.090,-11.414,280.884,-204.224
-0.214,0.659,1.126,19.592,258.301,-190.796
-0.269,0.569,1.145,36.682,233.154,-167.542
-0.395,0.464,1.111,40.100,217.651,-139.587
-0.397,0.563,1.269,27.832,225.830,-119.629
-0.326,0.602,1.459,19.714,236.694,-107.422
-0.342,0.567,1.580,27.771,221.375,-93.689
-0.361,0.588,1.663,38.696,196.777,-83.679
-0.354,0.617,1.654,49.500,169.556,-75.073
-0.418,0.554,1.539,58.289,136.719,-61.768
-0.559,0.495,1.370,60.364,110.962,-44.006
-0.662,0.448,1.180,57.312,97.595,-30.090
-0.730,0.368,1.015,53.955,92.468,-20.813
-0.763,0.319,0.861,49.438,91.492,-16.113
-0.758,0.291,0.751,43.213,93.018,-14.404
-0.756,0.218,0.658,40.405,92.468,-13.245
-0.761,0.154,0.589,38.696,93.750,-12.756
-0.746,0.152,0.611,34.363,100.769,-15.076
-0.640,0.141,0.690,36.621,108.093,-21.240
-0.522,0.094,0.766,42.114,109.009,-27.039
-0.471,0.042,0.831,41.870,103.577,-29.846
-0.415,0.004,0.859,36.621,97.717,-32.043
-0.389,0.000,0.898,22.949,96.436,-35.706
-0.392,-0.002,0.925,5.310,93.872,-38.330
-0.404,0.054,0.980,-10.071,95.703,-43.274
-0.380,0.188,1.037,-19.775,101.685,-51.086
-0.328,0.326,1.115,-20.020,101.807,-57.129
-0.261,0.410,1.181,-10.132,90.576,-57.861
-0.235,0.435,1.204,5.432,70.251,-52.612

-1.046,-0.097,-1.538,80.078,-214.233,33.508
-1.062,-0.162,-1.522,71.899,-179.504,29.236
-1.055,-0.228,-1.405,51.147,-126.404,22.034
-1.055,-0.286,-1.140,20.142,-57.678,11.292
