aX,aY,aZ,gX,gY,gZ
0.107,0.536,0.745,-128.845,55.420,-19.165
0.107,0.584,0.775,-41.565,23.499,-6.714
0.107,0.587,0.775,-12.268,9.033,-0.977
0.107,0.586,0.773,-1.953,3.967,1.953
0.108,0.586,0.771,0.671,2.686,2.747
0.106,0.587,0.771,0.732,2.563,2.991
0.107,0.587,0.771,0.916,2.563,3.113
0.107,0.586,0.771,0.854,2.441,2.991
0.109,0.588,0.771,0.732,2.502,3.052
0.106,0.585,0.769,0.854,2.258,2.991
0.108,0.587,0.771,0.916,2.502,3.052
0.109,0.586,0.769,0.793,2.563,3.052
0.107,0.586,0.769,0.732,2.380,3.052
0.109,0.587,0.769,0.793,2.258,3.113
0.109,0.587,0.769,0.854,2.502,3.052
0.108,0.587,0.769,0.916,2.502,2.991
0.107,0.587,0.768,0.977,2.441,2.991
0.109,0.587,0.769,0.977,2.502,2.991
0.108,0.587,0.769,0.916,2.502,2.930
0.107,0.587,0.769,0.916,2.258,3.052
0.107,0.587,0.769,0.793,2.441,3.052
0.108,0.586,0.770,0.854,2.686,3.113
0.109,0.587,0.769,0.793,2.441,3.113
0.107,0.588,0.768,0.916,2.441,3.174
0.108,0.587,0.770,0.854,2.625,2.991
0.107,0.587,0.770,0.977,2.441,2.991
0.107,0.586,0.770,0.854,2.502,3.174
0.107,0.587,0.770,0.916,2.502,2.991
0.108,0.587,0.769,0.854,2.502,3.113
0.108,0.587,0.769,0.854,2.380,3.113
0.107,0.586,0.769,0.854,2.625,2.991
0.108,0.588,0.769,0.916,2.319,3.113
0.108,0.587,0.770,1.038,2.502,3.052
0.108,0.587,0.770,1.038,2.441,2.991
0.108,0.587,0.770,0.793,2.563,2.930
0.107,0.587,0.770,0.610,2.441,2.991
0.107,0.587,0.770,0.732,2.563,2.930
0.108,0.588,0.770,0.671,2.563,2.991
0.108,0.586,0.771,0.793,2.563,3.174
0.108,0.586,0.770,0.977,2.502,3.113
0.107,0.587,0.770,0.854,2.502,3.113
0.108,0.587,0.771,0.610,2.625,3.052
0.108,0.587,0.770,0.916,2.502,2.869
0.107,0.587,0.771,0.977,2.441,2.991
0.107,0.587,0.771,0.977,2.441,2.930
0.108,0.588,0.771,0.916,2.625,3.052
0.108,0.588,0.771,0.732,2.380,3.052
0.107,0.588,0.770,0.793,2.258,3.052
0.107,0.587,0.771,0.732,2.441,3.113
0.107,0.588,0.771,0.732,2.563,3.052
0.109,0.586,0.771,0.854,2.502,2.930
0.108,0.587,0.771,0.671,2.502,2.991
0.108,0.587,0.771,0.732,2.441,3.113
0.108,0.587,0.771,0.732,2.625,3.113
0.108,0.587,0.772,0.854,2.502,3.113
0.108,0.587,0.771,0.793,2.502,2.991
0.109,0.588,0.772,0.793,2.747,3.052
0.108,0.587,0.771,0.732,2.502,3.052
0.108,0.588,0.771,0.610,2.441,2.869
0.108,0.588,0.773,0.854,2.319,3.235
0.108,0.587,0.773,0.854,2.319,3.113
0.109,0.587,0.772,0.793,2.502,2.930
0.108,0.588,0.772,0.793,2.502,2.991
0.107,0.586,0.772,0.916,2.563,2.991
0.108,0.588,0.772,0.977,2.441,3.113
0.108,0.587,0.772,0.793,2.502,2.930
0.108,0.587,0.772,0.793,2.502,3.052
0.108,0.588,0.773,0.793,2.441,3.113
0.108,0.587,0.773,0.793,2.441,3.113
0.107,0.588,0.772,0.793,2.441,3.113
0.108,0.587,0.773,0.916,2.380,3.113
0.108,0.586,0.774,0.854,2.563,3.052
